Site,CODE,Strata,Species,No.,72CAT_1,72CAT_2,72CAT_3,72CAT_4,72CAT_5,collector,date,weather,Bird72,Arth72,Mam72,Lost72,NonLost72H,TotalPred72H,Survived72H,BirdProp,ArthProp,72CAT_1,72CAT_2,72CAT_3,72CAT_4,72CAT_5
DRO,DRO_SP2,U,Argyrodendron_peralatum,5,1,1,1,1,1,marketa,29/11/2018,sunny,0,0,0,0,5,0,5,0,0,,,,,
DRO,DRO_SP3,U,Myristica_globosa,3,1,Arth,1,Arth,1,marketa,29/11/2018,sunny,0,2,0,0,5,2,3,0,0.4,,,,,
DRO,DRO_SP3,U,Myristica_globosa,4,1,1,1,1,Arth,marketa,29/11/2018,sunny,0,1,0,0,5,1,4,0,0.2,,,,,
DRO,DRO_SP3,U,Myristica_globosa,6,1,1,1,1,1,marketa,29/11/2018,sunny,0,0,0,0,5,0,5,0,0,,,,,
DRO,DRO_SP4,U,Haplosticanthus_ramiflorus,2,1,1,1,Arth,Arth,marketa,29/11/2018,sunny,0,2,0,0,5,2,3,0,0.4,,,,,
DRO,DRO_SP4,U,Haplosticanthus_ramiflorus,3,1,1,1,1,1,marketa,29/11/2018,sunny,0,0,0,0,5,0,5,0,0,,,,,
DRO,DRO_SP4,U,Haplosticanthus_ramiflorus,4,1,1,1,1,Arth,marketa,29/11/2018,sunny,0,1,0,0,5,1,4,0,0.2,,,,,
EUC,EUC_SP4,U,Eucalyptus_tereticornis,4,1,1,1,1,Bird,honza,11/04/2019,cloudy/sunny,1,0,0,0,5,1,4,0.2,0,,,,,1
DRO,DRO_SP4,U,Haplosticanthus_ramiflorus,7,1,1,1,1,1,marketa,29/11/2018,sunny,0,0,0,0,5,0,5,0,0,,,,,
DRO,DRO_SP4,U,Haplosticanthus_ramiflorus,8,1,1,1,1,1,marketa,29/11/2018,sunny,0,0,0,0,5,0,5,0,0,,,,,
DRO,DRO_SP5,U,Rockinghamia_angustifolia,2,1,1,1,1,1,marketa,29/11/2018,sunny,0,0,0,0,5,0,5,0,0,,,,,
DRO,DRO_SP5,U,Rockinghamia_angustifolia,4,1,1,Arth,Arth,1,marketa,29/11/2018,sunny,0,2,0,0,5,2,3,0,0.4,,,,,
DRO,DRO_SP5,U,Rockinghamia_angustifolia,6,1,1,1,1,1,marketa,29/11/2018,sunny,0,0,0,0,5,0,5,0,0,,,,,
DRO,DRO_SP5,U,Rockinghamia_angustifolia,7,1,1,1,Arth,1,marketa,29/11/2018,sunny,0,1,0,0,5,1,4,0,0.2,,,,,
DRO,DRO_SP5,U,Rockinghamia_angustifolia,8,1,1,Arth,1,Arth,marketa,29/11/2018,sunny,0,2,0,0,5,2,3,0,0.4,,,,,
DRO,DRO_SP6,U,Cleisthanthus_myrianthus,1,1,1,1,1,Bird,marketa,29/11/2018,sunny,1,0,0,0,5,1,4,0.2,0,,,,,1
DRO,DRO_SP6,U,Cleisthanthus_myrianthus,4,1,1,1,1,Arth,marketa,29/11/2018,sunny,0,1,0,0,5,1,4,0,0.2,,,,,
DRO,DRO_SP6,U,Cleisthanthus_myrianthus,6,1,1,Arth,1,1,marketa,29/11/2018,sunny,0,1,0,0,5,1,4,0,0.2,,,,,
DRO,DRO_SP6,U,Cleisthanthus_myrianthus,7,1,1,1,Arth,Arth,marketa,29/11/2018,sunny,0,2,0,0,5,2,3,0,0.4,,,,,
DRO,DRO_SP6,U,Cleisthanthus_myrianthus,8,1,1,Arth,1,Arth,marketa,29/11/2018,sunny,0,2,0,0,5,2,3,0,0.4,,,,,
DRO,DRO_SP7,U,Endiandra_leptodendron,3,1,1,1,1,1,marketa,29/11/2018,sunny,0,0,0,0,5,0,5,0,0,,,,,
DRO,DRO_SP7,U,Endiandra_leptodendron,4,1,1,1,1,1,marketa,29/11/2018,sunny,0,0,0,0,5,0,5,0,0,,,,,
DRO,DRO_SP7,U,Endiandra_leptodendron,6,1,1,1,Arth,1,marketa,29/11/2018,sunny,0,1,0,0,5,1,4,0,0.2,,,,,
DRO,DRO_SP7,U,Endiandra_leptodendron,8,1,1,Arth,Arth,Arth,marketa,29/11/2018,sunny,0,3,0,0,5,3,2,0,0.6,,,,,
DRO,DRO_SP8,U,Dysoxylum_arborescens,2,1,Arth,1,1,Bird,marketa,29/11/2018,sunny,1,1,0,0,5,2,3,0.2,0.2,,,,,1
DRO,DRO_SP8,U,Dysoxylum_arborescens,6,1,1,1,1,1,marketa,29/11/2018,sunny,0,0,0,0,5,0,5,0,0,,,,,
DRO,DRO_SP8,U,Dysoxylum_arborescens,7,1,1,1,1,1,marketa,29/11/2018,sunny,0,0,0,0,5,0,5,0,0,,,,,
DRO,DRO_SP8,U,Dysoxylum_arborescens,8,1,1,1,1,1,marketa,29/11/2018,sunny,0,0,0,0,5,0,5,0,0,,,,,
EUC,EUC_SP4,U,Eucalyptus_tereticornis,6,1,Bird,Arth,1,1,honza,11/04/2019,cloudy/sunny,1,1,0,0,5,2,3,0.2,0.2,,1,,,
EUC,EUC_SP5,U,Acacia_parramattensis,7,1,1,Bird,1,1,honza,11/04/2019,cloudy/sunny,1,0,0,0,5,1,4,0.2,0,,,1,,
EUC,EUC_SP6,U,Breynia_oblingifolia,4,1,1,Bird,Arth,1,honza,11/04/2019,cloudy/sunny,1,1,0,0,5,2,3,0.2,0.2,,,1,,
DRO,DRO_SP9,C,Cryptocarya_sp.,4,1,1,Arth,1,Arth,marketa,29/11/2018,sunny,0,2,0,0,5,2,3,0,0.4,,,,,
DRO,DRO_SP9,C,Cryptocarya_sp.,5,1,1,1,1,1,marketa,29/11/2018,sunny,0,0,0,0,5,0,5,0,0,,,,,
DRO,DRO_SP9,C,Cryptocarya_sp.,7,1,1,1,1,Arth,marketa,29/11/2018,sunny,0,1,0,0,5,1,4,0,0.2,,,,,
DRO,DRO_SP9,C,Cryptocarya_sp.,8,1,1,1,Arth,1,marketa,29/11/2018,sunny,0,1,0,0,5,1,4,0,0.2,,,,,
DRO,DRO_SP10,C,Argyrodendron_peralatum,1,1,1,1,Arth,1,marketa,29/11/2018,sunny,0,1,0,0,5,1,4,0,0.2,,,,,
DRO,DRO_SP10,C,Argyrodendron_peralatum,2,1,1,1,1,Bird,marketa,29/11/2018,sunny,1,0,0,0,5,1,4,0.2,0,,,,,1
DRO,DRO_SP10,C,Argyrodendron_peralatum,3,1,1,1,Arth,1,marketa,29/11/2018,sunny,0,1,0,0,5,1,4,0,0.2,,,,,
DRO,DRO_SP10,C,Argyrodendron_peralatum,4,1,1,1,1,Arth,marketa,29/11/2018,sunny,0,1,0,0,5,1,4,0,0.2,,,,,
DRO,DRO_SP10,C,Argyrodendron_peralatum,7,1,1,1,1,1,marketa,29/11/2018,sunny,0,0,0,0,5,0,5,0,0,,,,,
DRO,DRO_SP10,C,Argyrodendron_peralatum,8,1,1,1,1,1,marketa,29/11/2018,sunny,0,0,0,0,5,0,5,0,0,,,,,
DRO,DRO_SP11,C,Myristica_globosa,1,1,1,1,Arth,1,marketa,29/11/2018,sunny,0,1,0,0,5,1,4,0,0.2,,,,,
DRO,DRO_SP11,C,Myristica_globosa,2,1,1,1,1,Bird,marketa,29/11/2018,sunny,1,0,0,0,5,1,4,0.2,0,,,,,1
DRO,DRO_SP11,C,Myristica_globosa,3,1,1,1,1,Arth,marketa,29/11/2018,sunny,0,1,0,0,5,1,4,0,0.2,,,,,
DRO,DRO_SP11,C,Myristica_globosa,4,1,1,1,1,Bird,marketa,29/11/2018,sunny,1,0,0,0,5,1,4,0.2,0,,,,,1
DRO,DRO_SP11,C,Myristica_globosa,5,1,1,1,1,1,marketa,29/11/2018,sunny,0,0,0,0,5,0,5,0,0,,,,,
EUC,EUC_SP9,C,Eucalyptus_tereticornis,3,1,1,Bird,Arth,Arth,sara,15/04/2019,sunny,1,2,0,0,5,3,2,0.2,0.4,,,1,,
DRO,DRO_SP11,C,Myristica_globosa,7,1,1,1,1,1,marketa,29/11/2018,sunny,0,0,0,0,5,0,5,0,0,,,,,
DRO,DRO_SP11,C,Myristica_globosa,8,1,1,1,1,1,marketa,29/11/2018,sunny,0,0,0,0,5,0,5,0,0,,,,,
DRO,DRO_SP12,C,Syzygium_graveolens,1,1,1,1,1,1,marketa,29/11/2018,sunny,0,0,0,0,5,0,5,0,0,,,,,
DRO,DRO_SP12,C,Syzygium_graveolens,2,1,1,1,1,1,marketa,29/11/2018,sunny,0,0,0,0,5,0,5,0,0,,,,,
DRO,DRO_SP12,C,Syzygium_graveolens,4,1,1,1,Arth,1,marketa,29/11/2018,sunny,0,1,0,0,5,1,4,0,0.2,,,,,
DRO,DRO_SP12,C,Syzygium_graveolens,6,1,1,Arth,Bird,Arth,marketa,29/11/2018,sunny,1,2,0,0,5,3,2,0.2,0.4,,,,1,
EUC,EUC_SP9,C,Eucalyptus_tereticornis,5,1,Arth,1,Arth,Bird,sara,15/04/2019,sunny,1,2,0,0,5,3,2,0.2,0.4,,,,,1
DRO,DRO_SP12,C,Syzygium_graveolens,8,1,1,1,1,Bird,marketa,29/11/2018,sunny,1,0,0,0,5,1,4,0.2,0,,,,,1
DRO,DRO_SP13,C,Rockinghamia_angustifolia,1,1,1,1,1,1,marketa,29/11/2018,sunny,0,0,0,0,5,0,5,0,0,,,,,
DRO,DRO_SP13,C,Rockinghamia_angustifolia,2,1,1,1,1,1,marketa,29/11/2018,sunny,0,0,0,0,5,0,5,0,0,,,,,
DRO,DRO_SP13,C,Rockinghamia_angustifolia,5,1,Arth,Mam,1,Bird,marketa,29/11/2018,sunny,1,1,1,0,5,3,2,0.2,0.2,,,,,1
DRO,DRO_SP13,C,Rockinghamia_angustifolia,6,1,1,1,1,1,marketa,29/11/2018,sunny,0,0,0,0,5,0,5,0,0,,,,,
DRO,DRO_SP13,C,Rockinghamia_angustifolia,7,1,1,1,1,1,marketa,29/11/2018,sunny,0,0,0,0,5,0,5,0,0,,,,,
DRO,DRO_SP13,C,Rockinghamia_angustifolia,8,1,1,1,1,1,marketa,29/11/2018,sunny,0,0,0,0,5,0,5,0,0,,,,,
DRO,DRO_SP14,C,Ficus_hahliana,3,1,1,1,Arth,1,marketa,29/11/2018,sunny,0,1,0,0,5,1,4,0,0.2,,,,,
DRO,DRO_SP14,C,Ficus_hahliana,4,1,1,1,Bird,1,marketa,29/11/2018,sunny,1,0,0,0,5,1,4,0.2,0,,,,1,
